Country,Year,"Hospitals per 100,000 People"
Fiji,2013,0
Kiribati,2013,0
Saint Vincent and the Grenadines,2013,0
Tuvalu,2014,0.02
Sri Lanka,2013,0.1
Senegal,2013,0.16
Bangladesh,2013,0.17
Ethiopia,2013,0.22
Haiti,2013,0.24
Burkina Faso,2013,0.31
Ecuador,2013,0.33
Guatemala,2013,0.34
Eritrea,2013,0.36
Honduras,2013,0.36
Afghanistan,2013,0.37
Guinea,2013,0.37
Liberia,2013,0.37
Suriname,2013,0.37
Nepal,2013,0.38
Malawi,2013,0.4
Uganda,2013,0.4
Benin,2013,0.41
Indonesia,2013,0.43
Democratic Republic of the Congo,2013,0.45
Zambia,2013,0.45
Mali,2013,0.46
El Salvador,2013,0.47
Madagascar,2013,0.47
Malaysia,2013,0.47
Central African Republic,2013,0.48
Burundi,2013,0.5
Singapore,2013,0.5
Zimbabwe,2013,0.52
Pakistan,2013,0.53
Niger,2013,0.55
Israel,2013,0.56
Cambodia,2013,0.57
Togo,2013,0.6
Egypt,2013,0.62
Myanmar,2013,0.63
Chad,2013,0.65
South Africa,2013,0.67
Comoros,2013,0.68
Gambia,2013,0.7
Jamaica,2013,0.75
Netherlands,2013,0.76
Cameroon,2013,0.79
Eswatini,2013,0.8
Costa Rica,2013,0.84
Panama,2013,0.91
Malta,2013,0.93
Grenada,2013,0.94
Poland,2013,0.94
Iraq,2013,0.95
Nicaragua,2013,0.95
Mauritius,2013,0.96
Cabo Verde,2013,1
Denmark,2013,1.01
Bosnia and Herzegovina,2013,1.02
Hungary,2013,1.02
Mauritania,2013,1.03
Chile,2013,1.04
Saudi Arabia,2013,1.04
Barbados,2013,1.05
Bahamas,2013,1.06
Bolivia ,2013,1.07
Seychelles,2013,1.08
Serbia,2013,1.09
Antigua and Barbuda,2013,1.11
Luxembourg,2013,1.13
Slovenia,2013,1.25
Botswana,2013,1.29
Czech Republic,2013,1.29
Oman,2013,1.35
Sudan,2013,1.35
Albania,2013,1.36
Ghana,2013,1.36
Finland,2013,1.38
Brunei,2013,1.44
Kenya,2013,1.47
Croatia,2013,1.54
Slovakia,2013,1.54
Turkey,2013,1.55
Latvia,2013,1.56
Papua New Guinea,2013,1.57
Spain,2013,1.63
Saint Lucia,2013,1.65
Romania,2013,1.68
C̫te d'Ivoire,2013,1.71
Bhutan,2013,1.72
Philippines,2013,1.81
Thailand,2013,1.84
United States,2013,1.86
Namibia,2013,1.91
Estonia,2013,1.94
Jordan,2013,1.94
Cuba,2013,2.04
Italy,2013,2.08
Montenegro,2013,2.09
Belize,2013,2.11
Republic of Moldova,2013,2.12
Lithuania,2013,2.15
Republic of Georgia,2013,2.21
Laos,2013,2.25
Canada,2013,2.27
Tunisia,2013,2.33
Vanuatu,2013,2.37
Paraguay,2013,2.43
Mongolia,2013,2.5
Kyrgyzstan,2013,2.63
Libya,2013,2.64
Yemen,2013,2.97
Lebanon,2013,3.09
San Marino,2013,3.18
Guyana,2013,3.38
Republic of Korea,2013,3.42
Mexico,2013,3.51
Kazakhstan,2013,3.52
Gabon,2013,3.53
Iceland,2013,3.64
Marshall Islands,2013,3.8
Tonga,2013,3.8
Uruguay,2013,3.93
Armenia,2013,4.03
North Macedonia,2014,4.08
Samoa,2013,4.2
Tajikistan,2013,4.68
Federated States of Micronesia,2013,4.83
Dominica,2013,5.56
Maldives,2013,6.67
Democratic People's Republic of Korea,2013,6.86
Saint Kitts and Nevis,2013,7.38
Belarus,2013,7.45
Cyprus,2013,7.54
Azerbaijan,2013,7.97
Nauru,2013,9.95
Monaco,2013,10.57
Guinea-Bissau,2013,56.45